week;rank;rise;rise_nb;name;artist;last_week;peak;week_chart
"
                January 12, 2019
                ";97;Failing;-30;All My Friends;21 Savage;67;67;2
"
                January 12, 2019
                ";98;New;-;Make It Sweet;Old Dominion;-;98;1
"
                January 12, 2019
                ";99;Re-Enter;-;Ocean Eyes;Billie Eilish;-;96;3
"
                January 12, 2019
                ";100;New;-;idontwannabeyouanymore;Billie Eilish;-;100;1
"
                January 19, 2019
                ";1;Rising;+2;Sunflower (Spider-Man: Into The Spider-Verse);Post Malone & Swae Lee;3;1;12
"
                January 19, 2019
                ";2;Failing;-1;Without Me;Halsey;1;1;14
"
                January 19, 2019
                ";3;Failing;-1;Thank U, Next;Ariana Grande;2;1;10
"
                January 19, 2019
                ";4;Steady;-;Sicko Mode;Travis Scott;4;1;23
"
                January 19, 2019
                ";5;Steady;-;High Hopes;Panic! At The Disco;5;5;23
"
                January 19, 2019
                ";6;Steady;-;Happier;Marshmello & Bastille;6;3;21
"
                January 19, 2019
                ";7;Steady;-;Girls Like You;Maroon 5 Featuring Cardi B;7;1;33
"
                January 19, 2019
                ";8;Steady;-;Drip Too Hard;Lil Baby & Gunna;8;4;17
"
                January 19, 2019
                ";9;Rising;+2;Eastside;benny blanco, Halsey & Khalid;11;9;26
"
                January 19, 2019
                ";10;Failing;-1;ZEZE;Kodak Black Featuring Travis Scott & Offset;9;2;13
"
                January 19, 2019
                ";11;Rising;+2;Wow.;Post Malone;13;11;3
"
                January 19, 2019
                ";12;Steady;-;Wake Up In The Sky;Gucci Mane X Bruno Mars X Kodak Black;12;11;17
"
                January 19, 2019
                ";13;Failing;-3;Better Now;Post Malone;10;3;37
"
                January 19, 2019
                ";14;Rising;+1;Mo Bamba;Sheck Wes;15;6;20
"
                January 19, 2019
                ";15;Rising;+1;Breathin;Ariana Grande;16;12;21
"
                January 19, 2019
                ";16;Failing;-2;Youngblood;5 Seconds Of Summer;14;7;32
"
                January 19, 2019
                ";17;Steady;-;Money;Cardi B;17;13;12
"
                January 19, 2019
                ";18;Rising;+3;Going Bad;Meek Mill Featuring Drake;21;6;6
"
                January 19, 2019
                ";19;Steady;-;Taki Taki;DJ Snake Featuring Selena Gomez, Ozuna & Cardi B;19;11;15
"
                January 19, 2019
                ";20;Steady;-;MIA;Bad Bunny Featuring Drake;20;5;13
"
                January 19, 2019
                ";21;Rising;+1;Leave Me Alone;Flipp Dinero;22;21;17
"
                January 19, 2019
                ";22;Failing;-4;Lucid Dreams;Juice WRLD;18;2;35
"
                January 19, 2019
                ";23;Rising;+6;Shallow;Lady Gaga & Bradley Cooper;29;5;15
"
                January 19, 2019
                ";24;Rising;+6;Better;Khalid;30;24;17
"
                January 19, 2019
                ";25;Failing;-1;Speechless;Dan + Shay;24;24;18
"
                January 19, 2019
                ";26;Failing;-3;Trip;Ella Mai;23;11;23
